Team,GP,W,L,Pace,OffRtg,DefRtg,NetRtg,Opp ND/FG,Opp MD/FG,Opp 3P/FG,Opp eFG%,Opp ORB%,Opp DRB%,Opp TRB%,Opp AST%,Opp TOV%,Opp FT/G,Opp FTr
ALBA Berlin,34,26,7,66.6,118.3,108.6,9.7,44.6,20.0,35.5,51.9,28.3,70.6,48.2,42.1,17.2,18.1,0.178
Artland Dragons,34,25,8,69.4,110.8,101.0,9.8,41.8,24.7,33.5,50.6,29.2,72.5,49.8,44.7,21.1,18.4,0.172
Bayer Giants Leverkusen,34,25,9,75.0,110.8,104.9,6.0,44.5,16.4,39.1,50.0,32.1,68.9,49.9,45.4,20.1,19.0,0.173
Brose Baskets,34,23,11,67.4,110.4,98.4,12.0,40.8,22.2,37.0,46.5,28.4,69.6,47.5,45.4,18.9,20.5,0.203
EWE Baskets Oldenburg,34,21,13,70.4,108.0,103.7,4.2,47.3,20.5,32.2,49.7,33.1,69.7,50.8,44.9,20.4,21.8,0.203
Eisbaeren Bremerhaven,34,19,15,72.5,108.0,106.9,1.1,41.7,19.4,38.9,49.7,29.8,69.3,48.9,46.7,18.3,24.9,0.228
Science City Jena,34,5,29,70.6,98.3,111.8,-13.5,38.0,19.8,42.1,51.6,28.9,69.8,48.7,57.6,17.1,25.8,0.230
DEUTSCHE BANK SKYLINERS,34,21,13,69.4,107.7,104.3,3.4,40.0,20.0,40.0,50.3,30.7,71.7,50.7,51.2,19.6,16.5,0.159
LTi GIESSEN 46ers,34,9,25,70.5,106.0,115.6,-9.6,48.8,13.7,37.5,54.3,30.9,73.2,52.6,48.7,16.6,20.9,0.191
BG 74 Goettingen,34,13,21,74.5,105.3,108.3,-3.0,44.6,16.1,39.2,53.6,33.4,67.5,51.9,53.7,23.4,26.4,0.233
EnBW Ludwigsburg,34,15,19,72.9,110.8,110.6,0.2,51.4,15.7,32.9,54.7,33.5,67.9,51.3,41.5,22.0,23.8,0.210
NY Phantoms Braunschweig,34,17,17,71.3,104.5,105.8,-1.4,48.9,16.2,34.8,51.7,31.1,71.7,51.8,51.5,21.8,25.9,0.236
Koeln 99ers,34,16,18,70.6,109.7,111.4,-1.6,47.4,20.2,32.5,55.3,30.9,66.8,49.0,47.6,19.5,20.0,0.169
ratiopharm Ulm,34,16,18,73.1,112.8,113.1,-0.3,44.9,19.7,35.4,53.4,30.8,62.8,47.3,45.1,16.8,23.1,0.196
TBB Trier,34,7,27,71.9,103.5,113.9,-10.4,51.1,16.0,32.9,54.7,30.6,72.4,52.1,46.8,20.1,25.9,0.237
Telekom Baskets Bonn,34,21,13,69.8,109.0,105.6,3.3,46.8,18.4,34.9,53.9,31.4,65.6,49.4,45.7,23.9,25.5,0.238
WALTER Tigers Tuebingen,34,10,24,68.4,103.0,112.6,-9.6,44.1,17.5,38.3,52.5,29.2,66.9,48.0,51.0,16.4,19.6,0.189
digibu Baskets,34,16,18,73.4,108.3,107.7,0.6,47.1,19.4,33.5,53.8,29.8,72.5,52.0,46.7,20.2,22.4,0.197
