Team,GP,W,L,Pace,OffRtg,DefRtg,NetRtg,ND/FG,MD/FG,3P/FG,eFG%,ORB%,DRB%,TRB%,AST%,TOV%,FT/G,FTr
ALBA Berlin,34,26,8,67.4,118.4,104.4,14.0,50.3,13.4,36.2,59.8,26.5,69.2,49.6,56.1,17.5,24.3,0.313
Artland Dragons,34,18,16,71.3,108.6,107.5,1.1,46.3,15.7,37.9,53.1,29.0,71.2,50.0,51.0,20.3,23.8,0.310
GIANTS Duesseldorf,34,12,20,69.0,104.6,108.7,-4.1,41.3,18.8,39.9,51.5,25.8,67.6,46.7,51.6,19.2,18.1,0.229
Brose Baskets,34,19,15,68.7,107.0,101.2,5.8,49.6,11.5,38.9,53.2,28.2,71.9,50.9,46.3,21.2,23.6,0.322
EWE Baskets Oldenburg,34,25,9,70.1,112.0,104.4,7.5,43.1,13.8,43.0,54.8,31.8,68.3,51.1,46.4,20.9,23.5,0.302
Eisbaeren Bremerhaven,34,7,27,72.0,103.2,114.4,-11.2,52.6,12.9,34.5,50.4,32.5,68.5,50.4,45.0,21.4,18.6,0.209
Giants Noerdlingen,34,11,23,69.6,101.6,107.9,-6.3,46.9,13.3,39.9,49.1,34.8,68.4,51.3,46.7,22.5,22.9,0.266
DEUTSCHE BANK SKYLINERS,34,21,13,66.3,107.2,101.0,6.2,46.7,16.6,36.7,52.1,35.0,69.7,52.9,56.4,21.1,19.5,0.231
LTi GIESSEN 46ers,33,8,25,71.1,100.7,110.9,-10.2,50.1,17.9,32.1,50.8,26.5,72.6,49.3,38.8,21.8,24.4,0.297
MEG Goettingen,34,25,9,72.7,103.8,96.9,6.9,45.2,21.0,33.7,46.7,33.2,70.4,49.8,37.2,17.8,20.4,0.217
EnBW Ludwigsburg,33,15,18,68.5,101.6,107.1,-5.6,50.3,12.7,37.0,49.3,29.4,71.1,50.3,42.4,21.6,20.6,0.275
New Yorker Phantoms Braunschweig,34,14,19,67.8,101.8,101.4,0.3,47.8,16.8,35.5,50.0,28.4,70.9,49.2,43.1,19.3,20.0,0.221
Koeln 99ers,34,11,22,68.4,102.9,108.9,-6.0,50.1,14.4,35.5,50.3,30.9,68.9,49.7,47.8,22.0,21.0,0.263
ratiopharm Ulm,34,21,13,71.4,109.4,108.0,1.4,54.6,9.9,35.5,53.2,33.9,69.9,51.7,46.4,20.6,22.6,0.248
TBB Trier,34,16,18,70.6,106.2,107.7,-1.4,51.8,11.2,37.1,53.6,24.9,69.5,47.0,44.9,18.8,20.4,0.240
Telekom Baskets Bonn,34,22,12,69.2,108.6,104.9,3.6,48.5,16.7,34.9,52.7,28.4,68.0,48.6,38.4,18.5,21.5,0.262
WALTER Tigers Tuebingen,34,14,20,70.7,104.9,107.8,-2.9,48.9,14.9,36.3,50.2,30.5,68.3,49.2,37.5,19.8,22.9,0.263
Paderborn Baskets,34,18,16,70.7,106.6,104.8,1.8,48.7,20.7,30.7,49.8,32.1,71.9,52.0,47.3,19.8,26.4,0.319
