Team,GP,W,L,Pace,OffRtg,DefRtg,NetRtg,Opp ND/FG,Opp MD/FG,Opp 3P/FG,Opp eFG%,Opp ORB%,Opp DRB%,Opp TRB%,Opp AST%,Opp TOV%,Opp FT/G,Opp FTr
ALBA Berlin,44,31,13,67.0,115.7,103.7,12.1,48.6,17.6,33.8,49.0,30.1,74.1,50.5,40.0,19.5,19.3,0.202
Artland Dragons,34,18,16,71.3,108.6,107.5,1.1,46.0,19.0,35.1,51.6,28.8,71.0,50.0,47.6,19.7,24.5,0.229
GIANTS Duesseldorf,34,12,22,69.0,104.6,108.7,-4.1,44.0,14.9,41.1,53.5,32.4,74.2,53.3,49.6,21.2,20.7,0.188
Brose Baskets,41,22,19,69.3,106.1,101.1,5.0,46.3,17.8,35.9,49.0,29.9,71.9,49.9,38.3,20.0,19.6,0.182
EWE Baskets Oldenburg,46,34,12,69.3,111.8,104.3,7.5,50.1,21.0,28.9,50.0,30.9,67.7,48.5,39.2,19.3,20.3,0.190
Eisbaeren Bremerhaven,34,7,27,72.0,103.2,114.4,-11.2,48.4,13.2,38.4,54.6,31.5,67.5,49.6,49.4,17.3,23.5,0.192
Giants Noerdlingen,34,11,23,69.6,101.6,107.9,-6.3,48.0,14.4,37.6,53.1,31.6,65.2,48.7,46.0,20.3,19.2,0.163
DEUTSCHE BANK SKYLINERS,38,22,16,66.1,106.9,102.2,4.7,43.2,14.1,42.7,49.9,30.6,65.6,47.6,47.3,20.7,19.9,0.192
LTi GIESSEN 46ers,33,8,25,71.1,100.7,110.9,-10.2,48.0,15.0,36.9,54.7,27.4,73.5,50.7,47.9,18.0,23.6,0.199
MEG Goettingen,38,26,12,81.6,102.6,97.5,5.2,44.1,14.4,41.5,51.8,29.6,66.2,49.9,51.9,26.4,20.7,0.205
EnBW Ludwigsburg,33,15,18,68.5,101.6,107.1,-5.6,44.5,16.8,38.8,50.6,28.9,70.6,49.7,38.9,19.7,26.2,0.258
NY Phantoms Braunschweig,34,14,20,67.8,101.8,101.4,0.3,53.2,13.6,33.2,50.3,29.1,71.6,50.8,47.3,22.0,23.7,0.231
Koeln 99ers,34,11,23,68.4,102.9,108.9,-6.0,49.4,13.1,37.5,52.3,31.1,69.1,50.3,50.6,19.9,24.1,0.229
ratiopharm Ulm,37,21,16,71.2,108.5,108.2,0.3,52.9,13.2,33.9,52.6,29.7,65.8,48.1,42.1,18.6,21.2,0.191
TBB Trier,34,16,18,70.6,106.2,107.7,-1.4,55.4,13.7,30.9,53.2,30.5,75.1,53.0,42.0,21.6,22.2,0.212
Telekom Baskets Bonn,47,30,17,68.7,107.0,104.8,2.2,52.2,14.6,33.2,48.8,31.6,71.3,51.2,44.6,19.7,25.3,0.245
WALTER Tigers Tuebingen,34,14,20,70.7,104.9,107.8,-2.9,46.2,14.4,39.5,52.4,31.7,69.5,50.8,51.5,20.4,21.2,0.195
Paderborn Baskets,39,20,19,70.2,106.4,105.5,1.0,46.9,17.1,36.0,51.8,27.9,68.8,48.3,47.2,19.6,21.7,0.199
