Team,GP,W,L,Pace,OffRtg,DefRtg,NetRtg,Opp ND/FG,Opp MD/FG,Opp 3P/FG,Opp eFG%,Opp ORB%,Opp DRB%,Opp TRB%,Opp AST%,Opp TOV%,Opp FT/G,Opp FTr
ALBA BERLIN,38,27,11,68.9,118.3,105.8,12.5,48.1,19.1,32.7,49.5,29.5,64.7,46.4,54.0,17.0,17.2,0.172
Artland Dragons,42,27,15,72.1,112.8,108.1,4.8,48.2,17.9,33.9,51.4,24.6,72.1,47.8,54.2,16.2,20.6,0.193
BBC Bayreuth,34,13,21,69.5,99.6,110.9,-11.3,54.7,13.6,31.7,51.7,26.4,69.8,48.2,50.9,15.5,23.1,0.216
Brose Baskets,44,39,5,71.7,123.1,98.3,24.8,51.2,16.5,32.3,48.0,28.3,72.6,48.8,47.6,20.8,17.6,0.182
EWE Baskets Oldenburg,34,16,18,71.6,111.9,112.7,-0.8,45.8,20.0,34.2,52.0,29.3,68.4,48.4,53.7,16.1,24.6,0.216
Eisbaeren Bremerhaven,34,16,18,71.5,107.3,111.5,-4.3,50.8,14.1,35.1,53.8,30.2,68.7,49.8,58.5,18.5,22.3,0.200
FC Bayern Muenchen,39,22,17,69.7,111.2,105.6,5.6,43.9,19.6,36.4,49.9,29.3,71.9,50.2,48.2,18.9,23.2,0.224
FRAPORT SKYLINERS,34,17,17,67.0,101.9,101.5,0.4,51.8,15.8,32.4,48.3,30.6,75.0,52.4,50.7,20.5,19.9,0.210
LTi GIESSEN 46ers,34,9,25,69.3,99.0,111.9,-12.9,45.1,17.1,37.8,55.8,28.9,73.8,52.2,56.5,20.6,22.4,0.202
BG Goettingen,34,4,30,71.7,95.1,113.9,-18.8,48.5,14.1,37.4,53.6,33.1,72.1,54.1,57.7,18.6,23.5,0.210
EnBW Ludwigsburg,34,10,24,69.6,108.7,111.0,-2.3,47.1,14.8,38.1,51.2,27.8,67.9,47.9,56.4,17.3,22.9,0.229
NY Phantoms Braunschweig,37,18,19,70.9,109.5,111.0,-1.5,48.4,18.1,33.4,51.4,29.5,71.8,50.4,49.2,17.6,23.4,0.225
Phoenix Hagen,34,10,24,73.9,105.7,119.3,-13.6,52.7,14.8,32.5,57.1,32.2,73.2,53.7,53.8,17.5,23.8,0.199
ratiopharm ulm,43,33,10,73.5,112.1,104.0,8.1,43.3,18.8,37.9,49.6,28.0,72.9,49.4,51.5,17.6,17.3,0.161
TBB Trier,34,11,23,68.5,97.9,106.9,-9.0,48.8,15.9,35.3,51.7,30.1,70.0,50.7,54.8,19.8,19.9,0.194
Telekom Baskets Bonn,38,19,19,69.7,114.1,110.8,3.3,52.5,15.2,32.2,53.6,29.9,69.2,49.7,47.8,18.5,17.2,0.160
WALTER Tigers Tuebingen,34,15,19,71.5,106.6,110.3,-3.7,47.4,16.5,36.1,52.4,28.0,73.5,50.3,55.5,18.0,22.3,0.208
s.Oliver Baskets,41,20,21,70.9,101.0,96.7,4.3,44.9,17.7,37.3,47.6,29.8,68.7,50.6,53.2,23.6,23.3,0.237
