Team,GP,W,L,Pace,OffRtg,DefRtg,NetRtg,ND/FG,MD/FG,3P/FG,eFG%,ORB%,DRB%,TRB%,AST%,TOV%,FT/G,FTr
ALBA BERLIN,38,27,11,68.9,118.3,105.8,12.5,48.1,16.2,35.7,54.0,35.3,70.5,53.6,55.6,18.1,22.3,0.293
Artland Dragons,42,27,15,72.1,112.8,108.1,4.8,46.4,15.1,38.5,53.9,27.9,75.4,52.2,58.7,18.3,25.1,0.321
BBC Bayreuth,34,13,21,69.5,99.6,110.9,-11.3,43.4,16.3,40.2,49.6,30.2,73.6,51.8,53.5,22.9,19.4,0.242
Brose Baskets,44,39,5,71.7,123.1,98.3,24.8,49.4,13.7,36.9,59.6,27.4,71.7,51.2,56.7,16.4,24.5,0.312
EWE Baskets Oldenburg,34,16,18,71.6,111.9,112.7,-0.8,45.2,17.7,37.2,53.0,31.6,70.7,51.6,45.7,18.5,20.1,0.250
Eisbaeren Bremerhaven,34,16,18,71.5,107.3,111.5,-4.3,52.0,19.6,28.3,50.3,31.3,69.8,50.2,56.6,19.2,23.0,0.279
FC Bayern Muenchen,39,22,17,69.7,111.2,105.6,5.6,50.0,18.1,31.9,52.7,28.1,70.7,49.8,54.8,16.6,23.2,0.269
FRAPORT SKYLINERS,34,17,17,67.0,101.9,101.5,0.4,42.3,26.0,31.7,49.3,25.0,69.4,47.6,47.4,19.3,18.4,0.246
LTi GIESSEN 46ers,34,9,25,69.3,99.0,111.9,-12.9,46.0,18.6,35.4,48.3,26.2,71.1,47.8,57.2,20.7,18.9,0.261
BG Goettingen,34,4,30,71.7,95.1,113.9,-18.8,51.7,14.6,33.7,45.0,27.9,66.9,45.9,46.9,18.7,19.4,0.202
EnBW Ludwigsburg,34,10,24,69.6,108.7,111.0,-2.3,52.3,16.7,31.0,50.6,32.1,72.2,52.1,48.7,19.1,22.6,0.287
NY Phantoms Braunschweig,37,18,19,70.9,109.5,111.0,-1.5,48.6,16.4,34.9,52.9,28.2,70.5,49.6,53.7,17.6,20.4,0.237
Phoenix Hagen,34,10,24,73.9,105.7,119.3,-13.6,45.9,15.6,38.5,51.1,26.8,67.8,46.3,53.0,18.4,20.6,0.237
ratiopharm ulm,43,33,10,73.5,112.1,104.0,8.1,42.9,21.0,36.1,53.0,27.1,72.0,50.6,49.6,16.6,21.1,0.258
TBB Trier,34,11,23,68.5,97.9,106.9,-9.0,58.3,14.9,26.8,46.1,30.0,69.9,49.3,48.9,19.5,18.7,0.220
Telekom Baskets Bonn,38,19,19,69.7,114.1,110.8,3.3,50.0,13.2,36.8,53.5,30.8,70.1,50.3,58.5,16.9,19.7,0.251
WALTER Tigers Tuebingen,34,15,19,71.5,106.6,110.3,-3.7,50.5,15.9,33.5,53.3,26.5,72.0,49.7,57.4,19.5,20.7,0.247
s.Oliver Baskets,41,20,21,70.9,101.0,96.7,4.3,49.6,13.7,36.8,46.8,31.3,70.2,49.4,45.3,18.6,22.0,0.235
