Team,GP,W,L,Pace,OffRtg,DefRtg,NetRtg,ND/FG,MD/FG,3P/FG,eFG%,ORB%,DRB%,TRB%,AST%,TOV%,FT/G,FTr
ALBA BERLIN,34,26,8,69.1,119.9,105.2,14.7,48.2,16.2,35.6,54.8,35.9,71.3,54.3,55.2,18.0,21.9,0.286
Artland Dragons,34,24,10,72.2,114.8,106.2,8.6,46.4,14.8,38.9,54.9,28.3,75.5,52.5,60.4,18.0,25.5,0.323
BBC Bayreuth,34,13,21,69.5,99.6,110.9,-11.3,43.4,16.3,40.2,49.6,30.2,73.6,51.8,53.5,22.9,19.4,0.242
Brose Baskets,34,30,4,71.8,122.8,96.7,26.2,50.2,13.4,36.4,59.4,27.4,71.3,51.2,57.8,16.6,25.1,0.322
EWE Baskets Oldenburg,34,16,18,71.6,111.9,112.7,-0.8,45.2,17.7,37.2,53.0,31.6,70.7,51.6,45.7,18.5,20.1,0.250
Eisbaeren Bremerhaven,34,16,18,71.5,107.3,111.5,-4.3,52.0,19.6,28.3,50.3,31.3,69.8,50.2,56.6,19.2,23.0,0.279
FC Bayern Muenchen,34,22,12,69.4,111.6,104.9,6.6,49.7,18.1,32.1,53.1,28.1,70.3,49.8,55.4,17.0,23.7,0.281
FRAPORT SKYLINERS,34,17,17,67.0,101.9,101.5,0.4,42.3,26.0,31.7,49.3,25.0,69.4,47.6,47.4,19.3,18.4,0.246
LTi GIESSEN 46ers,34,9,25,69.3,99.0,111.9,-12.9,46.0,18.6,35.4,48.3,26.2,71.1,47.8,57.2,20.7,18.9,0.261
BG Goettingen,34,4,30,71.7,95.1,113.9,-18.8,51.7,14.6,33.7,45.0,27.9,66.9,45.9,46.9,18.7,19.4,0.202
EnBW Ludwigsburg,34,10,24,69.6,108.7,111.0,-2.3,52.3,16.7,31.0,50.6,32.1,72.2,52.1,48.7,19.1,22.6,0.287
NY Phantoms Braunschweig,34,18,16,70.7,109.2,109.5,-0.2,49.2,16.3,34.5,52.8,27.5,69.9,49.0,54.7,17.6,20.5,0.241
Phoenix Hagen,34,10,24,73.9,105.7,119.3,-13.6,45.9,15.6,38.5,51.1,26.8,67.8,46.3,53.0,18.4,20.6,0.237
ratiopharm ulm,34,27,7,73.1,111.8,102.2,9.6,43.0,21.6,35.4,52.3,27.3,72.1,50.8,50.5,16.6,21.2,0.265
TBB Trier,34,11,23,68.5,97.9,106.9,-9.0,58.3,14.9,26.8,46.1,30.0,69.9,49.3,48.9,19.5,18.7,0.220
Telekom Baskets Bonn,34,18,16,69.9,114.5,109.8,4.7,49.6,13.3,37.1,53.8,31.2,70.7,50.9,57.8,16.8,19.8,0.249
WALTER Tigers Tuebingen,34,15,19,71.5,106.6,110.3,-3.7,50.5,15.9,33.5,53.3,26.5,72.0,49.7,57.4,19.5,20.7,0.247
s.Oliver Baskets,34,20,14,70.7,100.5,94.8,5.6,49.3,13.5,37.2,46.6,31.4,70.1,49.4,44.5,19.1,22.9,0.248
