Team,GP,W,L,Pace,OffRtg,DefRtg,NetRtg,Opp ND/FG,Opp MD/FG,Opp 3P/FG,Opp eFG%,Opp ORB%,Opp DRB%,Opp TRB%,Opp AST%,Opp TOV%,Opp FT/G,Opp FTr
ALBA BERLIN,26,19,7,72.4,113.0,98.1,14.9,46.9,16.6,36.5,46.8,27.8,66.6,46.7,51.0,22.1,23.8,0.252
Artland Dragons,27,17,10,71.5,108.0,105.9,2.1,48.1,17.5,34.4,50.2,31.1,69.9,50.1,56.8,19.0,16.5,0.158
medi bayreuth,27,7,20,70.8,104.4,112.7,-8.3,52.9,11.0,36.1,51.8,29.3,70.2,49.4,50.7,15.7,24.4,0.217
Brose Baskets,25,21,4,70.6,113.9,100.4,13.5,51.6,15.4,33.0,49.3,29.1,69.2,48.3,53.6,21.5,17.0,0.178
EWE Baskets Oldenburg,27,19,8,71.7,112.1,106.7,5.5,43.4,23.8,32.8,49.0,31.3,71.7,51.1,47.8,18.7,22.1,0.217
Eisbaeren Bremerhaven,27,11,16,71.7,107.7,110.4,-2.7,49.2,15.1,35.7,52.1,31.1,61.3,45.7,53.2,17.1,18.9,0.172
FC Bayern Muenchen,27,23,4,72.4,120.7,103.8,16.8,42.4,17.0,40.6,49.6,26.1,67.3,46.0,56.3,18.6,17.5,0.178
FRAPORT SKYLINERS,24,11,13,68.8,102.9,107.6,-4.7,41.5,16.5,42.0,51.6,29.6,72.2,50.0,56.9,19.9,19.2,0.193
RASTA Vechta,27,5,22,73.1,104.1,112.5,-8.5,44.2,15.7,40.1,52.5,32.3,63.4,48.7,56.2,19.1,23.3,0.214
Mitteldeutscher BC,26,14,12,72.1,106.7,110.1,-3.4,54.6,18.5,26.9,52.3,32.2,72.1,52.7,44.7,18.2,21.7,0.192
MHP RIESEN Ludwigsburg,26,13,13,72.4,109.0,108.9,0.1,44.8,15.3,39.9,51.4,27.8,67.8,48.0,55.1,19.6,26.3,0.250
NY Phantoms Braunschweig,27,10,17,71.5,106.1,110.9,-4.8,49.8,15.0,35.2,51.9,32.0,73.9,52.9,51.6,18.6,20.2,0.193
Phoenix Hagen,27,12,15,77.1,105.2,110.3,-5.2,53.3,13.1,33.6,53.6,34.0,69.7,52.9,57.4,21.8,24.1,0.209
ratiopharm ulm,26,16,10,72.7,113.6,106.8,6.8,45.3,18.2,36.5,50.4,29.7,67.3,48.1,54.2,18.6,18.9,0.178
TBB Trier,27,10,17,70.0,107.5,111.3,-3.8,47.7,13.4,38.9,51.4,33.6,71.7,52.8,53.9,18.5,22.7,0.223
Telekom Baskets Bonn,27,17,10,70.9,111.0,108.0,3.0,51.9,15.5,32.7,52.8,31.5,72.0,52.6,48.3,21.1,19.9,0.192
WALTER Tigers Tuebingen,26,5,21,72.0,98.2,113.1,-15.0,46.9,15.6,37.4,53.9,28.5,73.6,52.0,55.7,17.6,21.0,0.193
s.Oliver Baskets,27,8,19,71.5,102.2,108.0,-5.7,46.1,14.7,39.2,51.9,27.6,75.7,51.7,55.7,18.0,23.1,0.212
