Team,GP,Pace,OR,DR,Net,OppND%,OppMD%,Opp3P%,OppeFG%,OppORB%,OppDRB%,OppTRB%,OppAST%,OppTOV%,OppFT/G,OppFTr
Alba Berlin,25,72.6,113.8,98.5,15.3,48.4,30.6,35.3,47.0,27.0,66.4,46.3,50.1,21.7,23.9,0.252
Artland Dragons,26,71.3,107.8,106.7,1.1,54.4,38.7,34.1,50.6,31.3,70.1,50.4,57.0,19.1,16.8,0.160
Medi Bayreuth,26,71.1,103.8,112.0,-8.2,52.0,36.9,37.2,51.6,29.1,70.2,49.3,51.1,15.8,24.3,0.217
Brose Baskets,24,70.5,112.9,101.3,11.5,51.4,40.7,33.6,49.5,29.6,70.1,49.0,56.1,21.2,17.2,0.179
EWE Baskets Oldenburg,26,71.7,112.1,106.8,5.4,54.5,35.1,34.5,48.9,30.9,71.6,50.9,48.2,18.5,21.8,0.217
Eisbaren Bremerhaven,26,71.9,108.4,111.0,-2.6,55.9,34.4,37.1,52.6,31.2,61.6,45.8,53.5,17.3,19.0,0.172
FC Bayern Muenchen,26,72.6,119.8,103.1,16.7,52.5,36.2,34.3,49.3,26.1,67.7,46.2,56.8,18.8,17.7,0.181
Fraport Skyliners,23,68.9,102.7,107.9,-5.1,51.8,40.6,37.9,52.1,29.2,72.4,49.9,57.3,19.9,18.8,0.188
Rasta Vechta,26,73.1,104.1,112.5,-8.5,58.6,39.6,33.7,52.4,32.5,63.6,48.9,56.1,18.9,22.9,0.209
Mitteldeutscher BC,25,72.3,106.5,110.2,-3.8,56.4,38.1,36.0,52.4,32.4,72.2,52.9,44.4,18.3,22.1,0.195
MHP Riesen Ludwigsburg,25,72.3,109.9,108.1,1.8,56.3,37.8,33.0,50.8,27.4,67.7,47.7,53.3,19.6,26.1,0.253
New Yorker Phantoms Braunschweig,26,71.7,106.1,110.9,-4.8,55.3,45.4,33.1,51.8,32.1,73.9,52.9,52.0,18.7,20.4,0.195
Phoenix Hagen,26,77.1,105.9,110.2,-4.4,56.3,39.5,35.6,53.2,34.0,69.5,52.7,56.6,21.6,24.4,0.214
Ratiopharm Ulm,25,72.9,114.0,106.8,7.3,53.0,36.0,36.1,50.3,29.7,67.5,48.2,53.8,18.6,19.0,0.179
TBB Trier,26,70.2,108.0,110.8,-2.8,54.0,36.8,36.0,51.7,32.8,71.2,52.2,51.3,18.6,22.7,0.221
Telekom Baskets Bonn,26,71.1,110.2,107.5,2.7,55.8,37.6,36.7,52.8,31.5,72.3,52.8,48.9,21.4,20.0,0.194
Walter Tigers Tuebingen,25,72.3,97.6,113.4,-15.9,59.3,40.2,35.4,54.0,28.5,74.2,52.2,55.8,17.3,20.9,0.189
s.Oliver Baskets,26,71.6,101.5,106.6,-5.2,56.7,33.8,34.6,51.4,27.2,75.7,51.3,55.6,18.2,23.0,0.212
