Team,GP,Pace,OR,DR,Net,ND%,MD%,3P%,eFG%,NDA/FGA,MDA/FGA,3PA/FGA,ORB%,DRB%,TRB%,AST%,TOV%,AST/TO,FT/G,FTr
ALBA Berlin,25,72,64510138,113,7585308,98,45123572,15,30729504,58,24022346,42,3566879,35,56485356,53,38196286,47,4801061,20,82228117,31,69761273,33,60849057,72,99435028,53,72186959,54,44444444,19,32683654,1,116809117,24,6,0,302387268
Artland Dragons,26,71,29324829,107,7775204,106,6553945,1,122125894,57,23951286,30,11152416,37,90849673,52,59259259,45,61728395,16,60493827,37,77777778,29,90142388,68,6836518,49,59568733,63,17934783,18,96927107,1,309859155,16,23076923,0,193209877
BBC Bayreuth,26,71,05422282,103,7552521,111,9974918,-8,242239655,56,43835616,38,79598662,33,33333333,50,86206897,46,6155811,19,09323116,34,29118774,29,7632469,70,93275488,50,74626866,58,69872702,20,84801795,1,072351421,17,30769231,0,212643678
Brose Baskets,24,70,48312767,112,8520673,101,3244858,11,52758152,59,43661972,41,70616114,34,67741935,54,199012,50,10585745,14,89061397,35,00352858,29,93464052,70,36144578,50,97178683,54,69208211,17,7938566,1,239202658,21,58333333,0,263232181
EWE Baskets Oldenburg,26,71,68970984,112,1285266,106,7635253,5,365001274,53,1120332,36,84210526,40,60283688,53,35723598,47,13168188,16,10169492,36,76662321,28,44141069,69,08690869,49,10514541,54,97159091,17,86545424,1,162162162,23,80769231,0,295306389
Eisbaren Bremerhaven,26,71,90273642,108,3728948,110,9939569,-2,621062116,55,60802834,36,97749196,37,23653396,52,01892744,53,4384858,19,6214511,26,94006309,38,42592593,68,8172043,54,18060201,47,51677852,23,32210372,0,811926606,19,46153846,0,23785489
FC Bayern Muenchen,26,72,63102991,119,7901018,103,0837832,16,70631865,57,46666667,37,46031746,39,77485929,54,25531915,46,93366708,19,71214018,33,35419274,32,31981982,73,89006342,53,76226827,60,5781866,16,49551336,1,47284345,25,84615385,0,337296621
Fraport Skyliners,23,68,91595382,102,746181,107,8711407,-5,124959749,52,47524752,37,14285714,37,08333333,51,54639175,48,05709754,13,8778747,38,06502776,27,64786795,70,81218274,50,0990099,58,64527629,23,64891065,0,859007833,20,0,288659794
Rasta Vechta,26,73,12214532,104,0665498,112,546822,-8,480272168,49,16759156,37,65690377,32,07885305,47,20259128,53,06242638,14,0753828,32,86219081,36,35486982,67,48927039,51,09192483,44,94382022,19,10678606,0,876712329,21,69230769,0,226737338
Mitteldeutscher BC,25,72,31482784,106,4651626,110,2440186,-3,778856078,54,94672755,40,48582996,32,77182236,50,22479127,42,19653179,15,86384072,41,93962749,27,8021978,67,55813953,47,11864407,50,07407407,18,29185406,1,011976048,20,2,0,244059088
Neckar Riesen Ludwigsburg,25,72,33910545,109,874993,108,0593321,1,815660876,54,08415842,31,03448276,35,32934132,50,62830688,53,43915344,13,42592593,33,13492063,32,30769231,72,5748503,52,32142857,42,83604136,18,32166884,0,870870871,25,2,0,308201058
New Yorker Phantoms Braunschweig,26,71,68076661,106,1057517,110,8583496,-4,752597839,56,02322206,39,32038835,32,78443114,50,89571337,44,08189379,13,17978247,42,73832374,26,06741573,67,88888889,47,09497207,56,85131195,18,74339148,1,111111111,19,11538462,0,253358925
Phoenix Hagen,26,77,13085224,105,8537934,110,2209448,-4,367151347,49,65277778,35,27777778,34,69785575,47,38054116,49,74093264,20,7253886,29,53367876,30,53140097,65,98272138,47,2718001,40,8719346,18,11375275,0,821917808,23,03846154,0,280368451
Ratiopharm Ulm,25,72,89553791,114,0498545,106,7872458,7,262608657,56,93904021,36,19047619,36,14864865,53,14685315,49,01462174,13,35028608,37,63509218,32,47767857,70,28753994,51,82561308,53,49794239,17,86063759,1,174698795,24,16,0,284806103
TBB Trier,26,70,21818447,107,9601999,110,8084649,-2,84826504,55,07042254,38,18181818,34,6031746,51,41025641,45,51282051,14,1025641,40,38461538,28,80794702,67,23356009,47,76286353,47,18614719,19,11624036,0,936962751,19,65384615,0,23525641
Telekom Baskets Bonn,26,71,14965028,110,2333205,107,5433907,2,689929734,58,89487871,37,66233766,33,33333333,52,37944162,47,08121827,14,65736041,38,26142132,27,68052516,68,45878136,47,17304397,59,03448276,16,67756435,1,380645161,21,73076923,0,252538071
Walter Tigers Tubingen,25,72,28076273,97,56399537,113,4465062,-15,88251087,47,64542936,36,36363636,33,79549393,47,32798931,48,22979292,13,22645291,38,54375418,25,79234973,71,4958775,47,78911565,60,39279869,19,47959522,1,048295455,19,68,0,231128925
s.Oliver Baskets,26,71,60970557,101,4537305,106,6386683,-5,184937755,53,26251897,42,66055046,33,93665158,50,74675325,42,79220779,14,15584416,43,05194805,24,28256071,72,83680175,48,6531061,50,67264574,20,04486246,0,904,18,26923077,0,217532468
