Team,GP,Pace,OffRtg,DefRtg,NetRtg,ND%,MD%,3P%,eFG%,ORB%,DRB%,TRB%,AST%,TOV%,FT/G,FTr
Alba Berlin,26,72.4,113.0,98.1,14.9,58.3,42.0,34.5,52.9,33.4,72.2,53.3,54.1,19.1,24.3,0.298
Artland Dragons,27,71.5,108.0,105.9,2.1,57.8,30.3,38.2,53.1,30.1,68.9,49.9,63.7,19.3,16.2,0.190
Medi Bayreuth,27,70.8,104.4,112.7,-8.3,57.2,39.0,32.9,51.0,29.8,70.7,50.6,57.6,20.6,17.3,0.211
Brose Baskets,25,70.6,113.5,100.7,12.8,59.0,43.3,35.6,54.7,30.2,70.4,51.1,56.4,17.8,22.0,0.266
EWE Baskets Oldenburg,27,71.7,112.1,106.7,5.5,53.4,36.6,40.4,53.4,28.3,68.7,48.9,55.0,18.1,24.1,0.304
Eisbaeren Bremerhaven,27,71.7,107.7,110.4,-2.7,55.0,36.6,37.1,51.6,38.7,68.9,54.3,48.3,23.7,19.6,0.239
FC Bayern Muenchen,27,72.4,120.7,103.8,16.8,57.9,37.7,39.9,54.6,32.7,73.9,54.0,60.5,16.3,25.9,0.339
Fraport Skyliners,24,68.8,102.9,107.6,-4.7,52.7,35.5,37.5,51.7,27.8,70.4,50.0,58.9,23.5,19.8,0.283
Rasta Vechta,27,73.1,104.1,112.5,-8.5,50.0,37.3,31.7,47.4,36.6,67.7,51.3,44.7,19.4,21.9,0.229
Mitteldeutscher BC,26,72.1,106.7,110.1,-3.4,55.1,41.1,32.6,50.3,27.9,67.8,47.3,49.7,18.2,20.0,0.242
MHP Riesen Ludwigsburg,26,72.4,109.0,108.9,0.1,54.0,31.0,35.1,50.4,32.2,72.2,52.0,42.5,18.7,24.9,0.305
NY Phantoms Braunschweig,27,71.5,106.1,110.9,-4.8,55.7,40.4,32.8,50.9,26.1,68.0,47.1,56.6,18.6,18.9,0.248
Phoenix Hagen,27,77.1,105.2,110.3,-5.2,49.4,35.6,34.3,47.2,30.3,66.0,47.1,41.2,18.1,22.5,0.273
Ratiopharm Ulm,26,72.7,113.6,106.8,6.8,56.6,35.0,35.9,52.7,32.7,70.3,51.9,53.3,17.9,24.3,0.288
TBB Trier,27,70.0,107.8,111.0,-3.1,54.9,38.4,34.7,51.4,28.8,66.9,47.7,47.3,19.4,19.8,0.242
Telekom Baskets Bonn,27,70.9,111.0,108.0,3.0,58.6,37.6,33.7,52.5,28.0,68.5,47.4,58.3,16.5,22.0,0.255
Walter Tigers Tuebingen,26,72.0,98.2,113.1,-15.0,47.5,35.3,33.8,47.1,26.4,71.5,48.0,61.2,19.3,19.6,0.233
s.Oliver Baskets,27,71.5,102.2,108.0,-5.7,53.7,42.5,34.0,51.0,24.3,72.4,48.3,50.4,19.8,18.0,0.215
