Team,GP,Pace,OR,DR,Net,ND%,MD%,3P%,eFG%,ORB%,DRB%,TRB%,AST%,TOV%,FT/G,FTr
ALBA Berlin,25,72.6,113.8,98.5,15.3,58.2,42.4,35.6,53.4,33.6,73.0,53.7,54.4,19.3,24.6,0.302
Artland Dragons,26,71.3,107.8,106.7,1.1,57.2,30.1,37.9,52.6,29.9,68.7,49.6,63.2,19.0,16.2,0.193
BBC Bayreuth,26,71.1,103.8,112.0,-8.2,56.4,38.8,33.3,50.9,29.8,70.9,50.7,58.7,20.8,17.3,0.213
Brose Baskets,24,70.5,112.9,101.3,11.5,59.4,41.7,34.7,54.2,29.9,70.4,51.0,54.7,17.8,21.6,0.263
EWE Baskets Oldenburg,26,71.7,112.1,106.8,5.4,53.1,36.8,40.6,53.4,28.4,69.1,49.1,55.0,17.9,23.8,0.295
Eisbaren Bremerhaven,26,71.9,108.4,111.0,-2.6,55.6,37.0,37.2,52.0,38.4,68.8,54.2,47.5,23.3,19.5,0.238
FC Bayern Muenchen,26,72.6,119.8,103.1,16.7,57.5,37.5,39.8,54.3,32.3,73.9,53.8,60.6,16.5,25.8,0.337
Fraport Skyliners,23,68.9,102.7,107.9,-5.1,52.5,37.1,37.1,51.5,27.6,70.8,50.1,58.6,23.6,20.0,0.289
Rasta Vechta,26,73.1,104.1,112.5,-8.5,49.2,37.7,32.1,47.2,36.4,67.5,51.1,44.9,19.1,21.7,0.227
Mitteldeutscher BC,25,72.3,106.5,110.2,-3.8,54.9,40.5,32.8,50.2,27.8,67.6,47.1,50.1,18.3,20.2,0.244
Neckar Riesen Ludwigsburg,25,72.3,109.9,108.1,1.8,54.1,31.0,35.3,50.6,32.3,72.6,52.3,42.8,18.3,25.2,0.308
New Yorker Phantoms Braunschweig,26,71.7,106.1,110.9,-4.8,56.0,39.3,32.8,50.9,26.1,67.9,47.1,56.9,18.7,19.1,0.253
Phoenix Hagen,26,77.1,105.9,110.2,-4.4,49.7,35.3,34.7,47.4,30.5,66.0,47.3,40.9,18.1,23.0,0.280
Ratiopharm Ulm,25,72.9,114.0,106.8,7.3,56.9,36.2,36.1,53.1,32.5,70.3,51.8,53.5,17.9,24.2,0.285
TBB Trier,26,70.2,108.0,110.8,-2.8,55.1,38.2,34.6,51.4,28.8,67.2,47.8,47.2,19.1,19.7,0.235
Telekom Baskets Bonn,26,71.1,110.2,107.5,2.7,58.9,37.7,33.3,52.4,27.7,68.5,47.2,59.0,16.7,21.7,0.253
Walter Tigers Tubingen,25,72.3,97.6,113.4,-15.9,47.6,36.4,33.8,47.3,25.8,71.5,47.8,60.4,19.5,19.7,0.231
s.Oliver Baskets,26,71.6,101.5,106.6,-5.2,53.3,42.7,33.9,50.7,24.3,72.8,48.7,50.7,20.0,18.3,0.218
