PLAYER,FGM,FGA,FG%,FTM,FTA,FT%,NDM,NDA,ND%,MDM,MDA,MD%,3PM,3PA,3P%,TOTAL PTS
Paulding (OLD),13,20,65.0,11,15,73.3,6,12,50.0,0,1,0.0,7,7,100.0,44
Kramer (OLD),9,18,50.0,12,14,85.7,5,11,45.5,2,4,50.0,2,3,66.7,32
Zwiener (BHV),7,12,58.3,11,13,84.6,3,5,60.0,1,2,50.0,3,5,60.0,28
Dugat (HAG),8,21,38.1,4,4,100.0,4,9,44.4,1,7,14.3,3,5,60.0,23
Lawrence (BON),10,19,52.6,9,12,75.0,3,5,60.0,0,2,0.0,7,12,58.3,36
Stuckey (WUE),6,10,60.0,0,0,0.0,0,0,0.0,1,1,100.0,5,9,55.6,17
Sanders (BAM),13,22,59.1,1,5,20.0,8,13,61.5,0,0,0.0,5,9,55.6,32
Djedovic (MUC),6,11,54.5,8,9,88.9,2,2,100.0,0,1,0.0,4,8,50.0,24
McLean (BON),9,19,47.4,14,19,73.7,8,16,50.0,0,1,0.0,1,2,50.0,33
Clyburn (ULM),6,13,46.2,7,11,63.6,3,6,50.0,0,1,0.0,3,6,50.0,22
Harris (BAM),6,14,42.9,2,4,50.0,4,8,50.0,0,2,0.0,2,4,50.0,16
Karl (LUD),5,13,38.5,9,12,75.0,0,3,0.0,1,2,50.0,4,8,50.0,23
Hill (ART),9,17,52.9,2,2,100.0,5,7,71.4,0,1,0.0,4,9,44.4,24
Rautins (FRA),4,17,23.5,15,16,93.8,0,6,0.0,0,2,0.0,4,9,44.4,27
Gordon (HAG),11,20,55.0,7,7,100.0,7,10,70.0,1,3,33.3,3,7,42.9,32
Little (WUE),5,10,50.0,2,3,66.7,3,4,75.0,0,1,0.0,2,5,40.0,14
Maedrich (VEC),11,24,45.8,6,8,75.0,9,16,56.3,0,3,0.0,2,5,40.0,30
Hamilton (BAY),4,13,30.8,11,14,78.6,1,2,50.0,1,6,16.7,2,5,40.0,21
