Team,GP,Wins,Losses,Pace,OffRtg,DefRtg,NetRtg,ND/FG,MD/FG,3P/FG,eFG%,ORB%,DRB%,TRB%,AST%,TOV%,FT/G,FTr
ALBA Berlin,21,19,2,71.1,123.1,101.7,21.4,50.2,20.8,29.0,57.7,39.3,75.1,57.8,61.6,19.0,25.7,0.325
Artland Dragons,21,10,11,70.4,112.9,114.2,-1.3,39.3,18.1,42.6,56.1,27.4,67.9,48.2,67.5,18.8,18.6,0.234
BL Braunschweig,21,10,11,70.9,107.2,111.2,-4.0,55.9,14.7,29.4,51.7,29.1,70.5,50.4,57.3,19.3,18.4,0.229
BG Goettingen,21,10,11,73.5,108.8,114.6,-5.8,46.0,16.1,37.9,51.5,30.9,68.5,49.0,62.5,19.8,18.9,0.249
Brose Baskets,21,18,3,68.4,120.7,102.3,18.4,46.5,18.6,35.0,57.2,27.4,74.4,52.9,58.2,16.6,24.1,0.344
Crailsheim Merlins,20,3,17,72.9,103.4,117.9,-14.5,53.7,16.2,30.2,49.4,30.4,67.8,48.3,54.1,19.4,22.1,0.249
Eisbaeren Bremerhaven,21,5,16,72.1,106.3,115.1,-8.9,46.2,16.4,37.4,50.2,33.4,71.6,51.2,56.7,20.8,19.0,0.226
EWE Baskets Oldenburg,20,11,9,71.9,115.5,113.1,2.4,47.4,14.7,37.9,53.6,32.5,68.1,50.0,56.4,18.3,18.3,0.237
FC Bayern Muenchen,21,17,4,74.3,124.0,103.9,20.1,46.4,13.9,39.7,56.8,32.4,74.4,53.8,64.0,15.2,24.6,0.280
Fraport Skyliners,21,10,11,68.9,108.7,108.0,0.7,48.7,15.0,36.3,53.2,28.9,71.8,50.5,63.3,20.5,19.6,0.256
Medi Bayreuth,21,8,13,69.1,109.0,113.6,-4.5,48.9,17.5,33.6,51.9,29.1,68.1,47.7,53.7,18.0,19.5,0.237
MHP Riesen Ludwigsburg,21,10,11,72.7,108.4,106.5,2.0,54.2,14.2,31.6,49.1,31.8,74.3,52.2,49.0,17.3,23.5,0.271
Mitteldeutscher BC,20,8,12,70.3,106.4,110.8,-4.4,41.3,13.2,45.5,49.7,26.6,68.9,47.0,57.0,16.4,20.5,0.244
Phoenix Hagen,20,8,12,77.7,107.2,114.4,-7.2,50.3,15.7,34.1,52.5,26.0,64.6,45.4,51.4,18.3,19.1,0.213
Ratiopharm Ulm,21,13,8,72.7,114.2,115.0,-0.8,50.9,10.0,39.1,53.3,28.9,70.4,50.0,54.1,17.6,25.8,0.345
TBB Trier,21,7,14,69.6,103.2,112.6,-9.4,45.7,16.6,37.7,51.6,23.6,66.0,45.9,51.3,19.6,20.8,0.271
Telekom Baskets Bonn,21,14,7,72.2,117.1,109.9,7.1,49.0,12.8,38.1,55.7,27.8,69.5,49.0,64.1,17.4,25.5,0.326
Walter Tigers Tuebingen,21,6,15,73.9,106.1,117.9,-11.8,45.3,20.4,34.3,50.6,31.1,71.1,51.0,64.1,19.9,20.3,0.241
