Team,GP,OppND/FG,OppMD/FG,Opp3P/FG,OppFTr
ALBA BERLIN,37,40.2,17.9,41.9,0.437
Telekom Baskets Bonn,34,49.7,18.1,32.2,0.323
ratiopharm ulm,41,46.4,14.3,39.3,0.301
Brose Baskets,40,45.3,18.9,35.8,0.326
LTi GIESSEN 46ers,34,43.6,15.7,40.7,0.292
Basketball Loewen Braunschweig,34,46.4,18.3,35.3,0.291
medi bayreuth,34,51.1,11.9,37,0.332
FRAPORT SKYLINERS,40,39.9,19.7,40.4,0.385
Mitteldeutscher BC,34,52.1,14.9,32.9,0.333
EWE Baskets Oldenburg,38,49.2,17.9,32.9,0.313
WALTER Tigers Tuebingen,34,42.2,17.5,40.4,0.342
MHP RIESEN Ludwigsburg,39,42.5,16.4,41.2,0.452
Eisbaeren Bremerhaven,34,46,15.1,38.9,0.33
Crailsheim Merlins,34,48.9,16.1,35,0.382
Phoenix Hagen,34,53.5,16.4,30.1,0.371
BG Goettingen,34,48.2,12.6,39.2,0.371
FC Bayern Muenchen,42,42.6,17.3,40,0.273
s.Oliver Baskets,37,46.9,13.6,39.5,0.338
