Team,GP,OppFG%,Opp3P%,OppFT%,OppeFG%,OppTS%,OppPPS,OppPPP
ALBA BERLIN,37,43.9,34.9,76.4,51.2,56.3,1.36,1.03
Telekom Baskets Bonn,34,49.4,35.3,76.2,55.1,58.5,1.35,1.15
ratiopharm ulm,41,46,35.2,75.8,53,56.4,1.29,1.07
Brose Baskets,40,40.9,33.4,74.2,46.9,51.1,1.18,0.98
LTi GIESSEN 46ers,34,46.4,37.4,74.1,54,57,1.3,1.08
Basketball Loewen Braunschweig,34,45.1,35,74.1,51.3,54.6,1.24,1.05
medi bayreuth,34,49.6,38,74.4,56.6,59.7,1.38,1.15
FRAPORT SKYLINERS,40,42.2,34.2,78.2,49.1,54.3,1.28,0.97
Mitteldeutscher BC,34,47.4,36.3,80.2,53.4,57.7,1.33,1.16
EWE Baskets Oldenburg,38,44.7,33.6,75.1,50.2,54,1.24,1.06
WALTER Tigers Tuebingen,34,49.4,38.9,77.7,57.3,60.8,1.41,1.13
MHP RIESEN Ludwigsburg,39,44.9,35.9,76.9,52.3,57.5,1.39,1.07
Eisbaeren Bremerhaven,34,47.9,34.5,76.9,54.6,58.2,1.35,1.12
Crailsheim Merlins,34,49.4,35.2,78.8,55.5,59.9,1.41,1.19
Phoenix Hagen,34,48.8,33.9,75,53.9,57.7,1.36,1.12
BG Goettingen,34,48.4,38.4,76.2,55.9,59.7,1.4,1.16
FC Bayern Muenchen,42,44.8,37.1,76.7,52.3,55.6,1.25,1.04
s.Oliver Baskets,37,47.6,37.3,76.8,54.9,58.6,1.36,1.13
