Team,GP,OppORB%,OppDRB%,OppTRB%,OppAST%,OppTOV%,OppAST/TOV
ALBA BERLIN,37,25.9,63.4,45.3,61,20.4,0.99
Telekom Baskets Bonn,34,29.3,71.8,51,57.3,14.9,1.62
ratiopharm ulm,41,27.7,68.1,47.7,68.8,17.7,1.49
Brose Baskets,40,27.3,70,46,62.6,18.5,1.15
LTi GIESSEN 46ers,34,31.5,73.5,52.3,59.8,19.8,1.17
Basketball Loewen Braunschweig,34,31.5,71.7,51.6,66.6,19.2,1.32
medi bayreuth,34,31.5,73,52.8,66.3,17.3,1.59
FRAPORT SKYLINERS,40,27.1,69.6,48,63.6,23.1,0.88
Mitteldeutscher BC,34,35.8,74,54.6,63.1,16.1,1.62
EWE Baskets Oldenburg,38,30.5,72.1,50.4,56.7,16.7,1.3
WALTER Tigers Tuebingen,34,25.6,72.7,50,64.3,17.9,1.42
MHP RIESEN Ludwigsburg,39,27.3,63.8,46.4,74.6,19.4,1.32
Eisbaeren Bremerhaven,34,31.5,68.7,50.2,70.7,17.9,1.57
Crailsheim Merlins,34,33.2,72.8,53.9,68.7,15.4,1.85
Phoenix Hagen,34,31.5,67.9,50.8,69.8,17,1.65
BG Goettingen,34,32.9,72,52.9,72.6,17.5,1.66
FC Bayern Muenchen,42,27.6,70.2,47.7,68.9,19,1.35
s.Oliver Baskets,37,32.3,69.2,50.8,65.2,18.1,1.43
