Team,GP,ND/FG,MD/FG,3P/FG,FTr
ALBA BERLIN,37,47.2,17.5,35.4,0.4
Telekom Baskets Bonn,34,47,14,39.1,0.335
ratiopharm ulm,41,46.1,19.8,34.1,0.415
Brose Baskets,40,43.6,16.6,39.7,0.401
LTi GIESSEN 46ers,34,44.7,18,37.3,0.319
Basketball Loewen Braunschweig,34,52.8,16.7,30.5,0.351
medi bayreuth,34,46.8,15.3,37.9,0.272
FRAPORT SKYLINERS,40,44.9,13,42,0.375
Mitteldeutscher BC,34,44.8,11.6,43.7,0.3
EWE Baskets Oldenburg,38,48.9,11.7,39.4,0.339
WALTER Tigers Tuebingen,34,43.6,20.4,36,0.302
MHP RIESEN Ludwigsburg,39,49.4,15.9,34.7,0.344
Eisbaeren Bremerhaven,34,49.2,16.5,34.3,0.359
Crailsheim Merlins,34,44.2,19.6,36.1,0.282
Phoenix Hagen,34,44.8,13.8,41.4,0.363
BG Goettingen,34,41.3,15.8,42.9,0.249
FC Bayern Muenchen,42,44.8,20.8,34.3,0.408
s.Oliver Baskets,37,50.3,15.4,34.3,0.304
