Team,GP,FG%,3P%,FT%,eFG%,TS%,PPS,PPP
ALBA BERLIN,37,46.2,34.8,75.3,52.3,56.7,1.35,1.11
Telekom Baskets Bonn,34,46.2,35.7,75.7,53.1,56.9,1.32,1.09
ratiopharm ulm,41,46.1,36,77.9,52.3,57.3,1.37,1.12
Brose Baskets,40,53.5,42.2,82.2,61.9,66,1.57,1.27
LTi GIESSEN 46ers,34,46.9,37.5,72.4,53.9,56.9,1.31,1.06
Basketball Loewen Braunschweig,34,45.3,32.9,66.9,50.3,53.3,1.24,1.02
medi bayreuth,34,46.1,35.3,75.8,52.8,56,1.26,1.05
FRAPORT SKYLINERS,40,47.1,38.2,77.2,55.1,59.2,1.39,1.12
Mitteldeutscher BC,34,45.5,35,75,53.1,56.4,1.29,1.05
EWE Baskets Oldenburg,38,48.1,36.2,77.7,55.3,59,1.37,1.14
WALTER Tigers Tuebingen,34,46.5,35.2,77.1,52.8,56.5,1.29,1.07
MHP RIESEN Ludwigsburg,39,45.2,31.2,74.7,50.7,54.7,1.27,1.1
Eisbaeren Bremerhaven,34,44.6,36.3,76.1,50.8,55.2,1.29,1.03
Crailsheim Merlins,34,43.1,31.6,76.4,48.8,52.6,1.19,0.99
Phoenix Hagen,34,42.3,37.2,77.4,50,54.7,1.28,1.07
BG Goettingen,34,44.7,33.1,76.7,51.8,54.9,1.23,1.03
FC Bayern Muenchen,42,49.9,40.5,78.8,56.9,61.2,1.46,1.17
s.Oliver Baskets,37,46.7,34.2,78.1,52.6,56.4,1.29,1.07
