Team,GP,OffRtg,eFG%,ORB%,TOV%,FTr
ALBA BERLIN,37,111.5,52.3,36.6,19,0.4
Telekom Baskets Bonn,34,108.5,53.1,28.2,17.7,0.335
ratiopharm ulm,41,111.6,52.3,31.9,17.2,0.415
Brose Baskets,40,126.7,61.9,30,15.8,0.401
LTi GIESSEN 46ers,34,106.1,53.9,26.5,18.8,0.319
Basketball Loewen Braunschweig,34,102.3,50.3,28.3,17.9,0.351
medi bayreuth,34,105.3,52.8,27,18.4,0.272
FRAPORT SKYLINERS,40,112.2,55.1,30.4,18.7,0.375
Mitteldeutscher BC,34,105,53.1,26,18.7,0.3
EWE Baskets Oldenburg,38,113.6,55.3,27.9,16.5,0.339
WALTER Tigers Tuebingen,34,106.7,52.8,27.3,18.1,0.302
MHP RIESEN Ludwigsburg,39,110.3,50.7,36.2,16.9,0.344
Eisbaeren Bremerhaven,34,103.1,50.8,31.3,21,0.359
Crailsheim Merlins,34,98.7,48.8,27.2,19.5,0.282
Phoenix Hagen,34,107.1,50,32.1,18.4,0.363
BG Goettingen,34,103.4,51.8,28,19.2,0.249
FC Bayern Muenchen,42,117.5,56.9,29.8,16.6,0.408
s.Oliver Baskets,37,106.6,52.6,30.8,19.5,0.304
