Team,GP,ORB%,DRB%,TRB%,AST%,TOV%,AST/TOV
ALBA BERLIN,37,36.6,74.1,54.7,61.3,19,1.23
Telekom Baskets Bonn,34,28.2,70.7,49,67,17.7,1.44
ratiopharm ulm,41,31.9,72.3,52.3,64.2,17.2,1.4
Brose Baskets,40,30,72.7,54,70.3,15.8,1.92
LTi GIESSEN 46ers,34,26.5,68.5,47.7,71.5,18.8,1.45
Basketball Loewen Braunschweig,34,28.3,68.5,48.4,62.6,17.9,1.3
medi bayreuth,34,27,68.5,47.2,61.2,18.4,1.28
FRAPORT SKYLINERS,40,30.4,72.9,52,67.4,18.7,1.37
Mitteldeutscher BC,34,26,64.2,45.4,66.9,18.7,1.33
EWE Baskets Oldenburg,38,27.9,69.5,49.6,65.7,16.5,1.6
WALTER Tigers Tuebingen,34,27.3,74.4,50,67,18.1,1.43
MHP RIESEN Ludwigsburg,39,36.2,72.7,53.6,57.1,16.9,1.33
Eisbaeren Bremerhaven,34,31.3,68.5,49.8,57.3,21,0.97
Crailsheim Merlins,34,27.2,66.8,46.1,66.6,19.5,1.22
Phoenix Hagen,34,32.1,68.5,49.2,66.6,18.4,1.28
BG Goettingen,34,28,67.1,47.1,74,19.2,1.45
FC Bayern Muenchen,42,29.8,72.4,52.3,66.4,16.6,1.61
s.Oliver Baskets,37,30.8,67.7,49.2,68.1,19.5,1.35
