Team,GP,W,L,Pace,OffRtg,DefRtg,NetRtg
ALBA BERLIN,37,22,15,72,111.5,102.6,8.9
Telekom Baskets Bonn,34,12,22,74.6,108.5,114.8,-6.3
ratiopharm ulm,41,26,15,73.6,111.6,107.5,4.1
Brose Baskets,40,37,3,71.3,126.7,97.6,29.1
LTi GIESSEN 46ers,34,17,17,72.9,106.1,108.3,-2.2
Basketball Loewen Braunschweig,34,16,18,72.7,102.3,105.1,-2.8
medi bayreuth,34,12,22,71.2,105.3,115.4,-10.1
FRAPORT SKYLINERS,40,30,10,70.5,112.2,96.9,15.3
Mitteldeutscher BC,34,9,25,74.9,105,116.4,-11.4
EWE Baskets Oldenburg,38,28,10,73.6,113.6,106.2,7.4
WALTER Tigers Tuebingen,34,10,24,74.1,106.7,113.1,-6.4
MHP RIESEN Ludwigsburg,39,25,14,73.2,110.3,106.7,3.6
Eisbaeren Bremerhaven,34,9,25,73.6,103.1,112.1,-9
Crailsheim Merlins,34,5,29,74.1,98.7,119.1,-20.4
Phoenix Hagen,34,14,20,79.1,107.1,112.2,-5.1
BG Goettingen,34,9,25,73.8,103.4,116.1,-12.7
FC Bayern Muenchen,42,29,13,74.9,117.5,104.4,13.1
s.Oliver Baskets,37,17,20,73.6,106.6,113.2,-6.6
