Team,GP,OppND/FG,OppMD/FG,Opp3P/FG,OppFTr
ALBA BERLIN,34,40.5,18.6,40.9,0.425
Telekom Baskets Bonn,34,49.7,18.1,32.2,0.323
ratiopharm ulm,34,46.4,15.2,38.5,0.299
Brose Baskets,34,45.5,18.3,36.2,0.316
LTi GIESSEN 46ers,34,43.6,15.7,40.7,0.292
Basketball Loewen Braunschweig,34,46.4,18.3,35.3,0.291
medi bayreuth,34,51.1,11.9,37,0.332
FRAPORT SKYLINERS,34,40,19.5,40.5,0.361
Mitteldeutscher BC,34,52.1,14.9,32.9,0.333
EWE Baskets Oldenburg,34,49.3,17.3,33.4,0.304
WALTER Tigers Tuebingen,34,42.2,17.5,40.4,0.342
MHP RIESEN Ludwigsburg,34,42.6,15.7,41.7,0.438
Eisbaeren Bremerhaven,34,46,15.1,38.9,0.33
Crailsheim Merlins,34,48.9,16.1,35,0.382
Phoenix Hagen,34,53.5,16.4,30.1,0.371
BG Goettingen,34,48.2,12.6,39.2,0.371
FC Bayern Muenchen,34,42.1,17.2,40.7,0.261
s.Oliver Baskets,34,47.2,13.6,39.2,0.318
