Team,GP,OppFG%,Opp3P%,OppFT%,OppeFG%,OppTS%,OppPPS,OppPPP
ALBA BERLIN,34,43.8,34.3,76,50.8,55.8,1.34,1.02
Telekom Baskets Bonn,34,49.4,35.3,76.2,55.1,58.5,1.35,1.15
ratiopharm ulm,34,45.8,34.8,75.7,52.5,56,1.28,1.07
Brose Baskets,34,41.1,34.3,75.2,47.3,51.6,1.18,0.99
LTi GIESSEN 46ers,34,46.4,37.4,74.1,54,57,1.3,1.08
Basketball Loewen Braunschweig,34,45.1,35,74.1,51.3,54.6,1.24,1.05
medi bayreuth,34,49.6,38,74.4,56.6,59.7,1.38,1.15
FRAPORT SKYLINERS,34,42.7,34.1,77.9,49.6,54.4,1.27,0.97
Mitteldeutscher BC,34,47.4,36.3,80.2,53.4,57.7,1.33,1.16
EWE Baskets Oldenburg,34,44.2,32.8,74.1,49.7,53.3,1.22,1.05
WALTER Tigers Tuebingen,34,49.4,38.9,77.7,57.3,60.8,1.41,1.13
MHP RIESEN Ludwigsburg,34,44.9,35.9,77.5,52.4,57.5,1.39,1.06
Eisbaeren Bremerhaven,34,47.9,34.5,76.9,54.6,58.2,1.35,1.12
Crailsheim Merlins,34,49.4,35.2,78.8,55.5,59.9,1.41,1.19
Phoenix Hagen,34,48.8,33.9,75,53.9,57.7,1.36,1.12
BG Goettingen,34,48.4,38.4,76.2,55.9,59.7,1.4,1.16
FC Bayern Muenchen,34,44.6,36.9,75.9,52.1,55.2,1.24,1.02
s.Oliver Baskets,34,46.7,36.3,76.1,53.8,57.3,1.32,1.11
