Team,GP,DefRtg,OppeFG%,DRB%,OppTOV%,OppFTr
ALBA BERLIN,34,101.7,50.8,74.3,20.3,0.425
Telekom Baskets Bonn,34,114.8,55.1,70.7,14.9,0.323
ratiopharm ulm,34,107.2,52.5,71.8,17.5,0.299
Brose Baskets,34,98.5,47.3,72,18.6,0.316
LTi GIESSEN 46ers,34,108.3,54,68.5,19.8,0.292
Basketball Loewen Braunschweig,34,105.1,51.3,68.5,19.2,0.291
medi bayreuth,34,115.4,56.6,68.5,17.3,0.332
FRAPORT SKYLINERS,34,97,49.6,72.8,23.4,0.361
Mitteldeutscher BC,34,116.4,53.4,64.2,16.1,0.333
EWE Baskets Oldenburg,34,105.2,49.7,70,16.4,0.304
WALTER Tigers Tuebingen,34,113.1,57.3,74.4,17.9,0.342
MHP RIESEN Ludwigsburg,34,105.9,52.4,73.6,19.7,0.438
Eisbaeren Bremerhaven,34,112.1,54.6,68.5,17.9,0.33
Crailsheim Merlins,34,119.1,55.5,66.8,15.4,0.382
Phoenix Hagen,34,112.2,53.9,68.5,17,0.371
BG Goettingen,34,116.1,55.9,67.1,17.5,0.371
FC Bayern Muenchen,34,102.2,52.1,73.2,20,0.261
s.Oliver Baskets,34,110.9,53.8,67.6,18.3,0.318
