Team,GP,OppORB%,OppDRB%,OppTRB%,OppAST%,OppTOV%,OppAST/TOV
ALBA BERLIN,34,25.7,63.2,44.9,60.4,20.3,0.99
Telekom Baskets Bonn,34,29.3,71.8,51,57.3,14.9,1.62
ratiopharm ulm,34,28.2,67.4,47.6,68.5,17.5,1.5
Brose Baskets,34,28,69.8,46.3,62.1,18.6,1.14
LTi GIESSEN 46ers,34,31.5,73.5,52.3,59.8,19.8,1.17
Basketball Loewen Braunschweig,34,31.5,71.7,51.6,66.6,19.2,1.32
medi bayreuth,34,31.5,73,52.8,66.3,17.3,1.59
FRAPORT SKYLINERS,34,27.2,69.2,48,63.4,23.4,0.88
Mitteldeutscher BC,34,35.8,74,54.6,63.1,16.1,1.62
EWE Baskets Oldenburg,34,30,71.5,49.7,56.5,16.4,1.32
WALTER Tigers Tuebingen,34,25.6,72.7,50,64.3,17.9,1.42
MHP RIESEN Ludwigsburg,34,26.4,63.2,45.7,75.1,19.7,1.3
Eisbaeren Bremerhaven,34,31.5,68.7,50.2,70.7,17.9,1.57
Crailsheim Merlins,34,33.2,72.8,53.9,68.7,15.4,1.85
Phoenix Hagen,34,31.5,67.9,50.8,69.8,17,1.65
BG Goettingen,34,32.9,72,52.9,72.6,17.5,1.66
FC Bayern Muenchen,34,26.8,69.8,47,70.1,20,1.29
s.Oliver Baskets,34,32.4,68.7,50.2,64,18.3,1.38
