Team,GP,OffRtg,eFG%,ORB%,TOV%,FTr
ALBA BERLIN,34,113,53.2,36.8,18.7,0.397
Telekom Baskets Bonn,34,108.5,53.1,28.2,17.7,0.335
ratiopharm ulm,34,112.3,52.1,32.6,16.6,0.404
Brose Baskets,34,125.6,61.9,30.2,16.3,0.388
LTi GIESSEN 46ers,34,106.1,53.9,26.5,18.8,0.319
Basketball Loewen Braunschweig,34,102.3,50.3,28.3,17.9,0.351
medi bayreuth,34,105.3,52.8,27,18.4,0.272
FRAPORT SKYLINERS,34,112.4,54.9,30.8,18.4,0.361
Mitteldeutscher BC,34,105,53.1,26,18.7,0.3
EWE Baskets Oldenburg,34,114.1,55.3,28.5,16.4,0.347
WALTER Tigers Tuebingen,34,106.7,52.8,27.3,18.1,0.302
MHP RIESEN Ludwigsburg,34,110.7,50.5,36.8,16.8,0.35
Eisbaeren Bremerhaven,34,103.1,50.8,31.3,21,0.359
Crailsheim Merlins,34,98.7,48.8,27.2,19.5,0.282
Phoenix Hagen,34,107.1,50,32.1,18.4,0.363
BG Goettingen,34,103.4,51.8,28,19.2,0.249
FC Bayern Muenchen,34,119.7,58,30.2,16.4,0.391
s.Oliver Baskets,34,108.4,53.9,31.3,19.7,0.298
