Team,GP,ORB%,DRB%,TRB%,AST%,TOV%,AST/TOV
ALBA BERLIN,34,36.8,74.3,55.1,61,18.7,1.27
Telekom Baskets Bonn,34,28.2,70.7,49,67,17.7,1.44
ratiopharm ulm,34,32.6,71.8,52.4,65.1,16.6,1.5
Brose Baskets,34,30.2,72,53.7,70.1,16.3,1.86
LTi GIESSEN 46ers,34,26.5,68.5,47.7,71.5,18.8,1.45
Basketball Loewen Braunschweig,34,28.3,68.5,48.4,62.6,17.9,1.3
medi bayreuth,34,27,68.5,47.2,61.2,18.4,1.28
FRAPORT SKYLINERS,34,30.8,72.8,52,66.4,18.4,1.39
Mitteldeutscher BC,34,26,64.2,45.4,66.9,18.7,1.33
EWE Baskets Oldenburg,34,28.5,70,50.3,65.8,16.4,1.61
WALTER Tigers Tuebingen,34,27.3,74.4,50,67,18.1,1.43
MHP RIESEN Ludwigsburg,34,36.8,73.6,54.3,56.1,16.8,1.31
Eisbaeren Bremerhaven,34,31.3,68.5,49.8,57.3,21,0.97
Crailsheim Merlins,34,27.2,66.8,46.1,66.6,19.5,1.22
Phoenix Hagen,34,32.1,68.5,49.2,66.6,18.4,1.28
BG Goettingen,34,28,67.1,47.1,74,19.2,1.45
FC Bayern Muenchen,34,30.2,73.2,53,66.4,16.4,1.68
s.Oliver Baskets,34,31.3,67.6,49.8,67.6,19.7,1.36
