Team,GP,W,L,Pace,OffRtg,DefRtg,NetRtg
ALBA BERLIN,34,22,12,72.3,113,101.7,11.3
Telekom Baskets Bonn,34,12,22,74.6,108.5,114.8,-6.3
ratiopharm ulm,34,21,13,73.6,112.3,107.2,5.1
Brose Baskets,34,31,3,71.3,125.6,98.5,27.1
LTi GIESSEN 46ers,34,17,17,72.9,106.1,108.3,-2.2
Basketball Loewen Braunschweig,34,16,18,72.7,102.3,105.1,-2.8
medi bayreuth,34,12,22,71.2,105.3,115.4,-10.1
FRAPORT SKYLINERS,34,26,8,70.3,112.4,97,15.4
Mitteldeutscher BC,34,9,25,74.9,105,116.4,-11.4
EWE Baskets Oldenburg,34,27,7,73.5,114.1,105.2,8.9
WALTER Tigers Tuebingen,34,10,24,74.1,106.7,113.1,-6.4
MHP RIESEN Ludwigsburg,34,23,11,73.2,110.7,105.9,4.8
Eisbaeren Bremerhaven,34,9,25,73.6,103.1,112.1,-9
Crailsheim Merlins,34,5,29,74.1,98.7,119.1,-20.4
Phoenix Hagen,34,14,20,79.1,107.1,112.2,-5.1
BG Goettingen,34,9,25,73.8,103.4,116.1,-12.7
FC Bayern Muenchen,34,26,8,75.5,119.7,102.2,17.5
s.Oliver Baskets,34,17,17,73.9,108.4,110.9,-2.5
